Trip ID,User ID,Destination,Departure Date,Return Date,Travel Type,Transportation Mode,Hotel Rating,Total Cost ($),Customer_Satisfaction,Satisfaction_level,Departure Month,Trip_Duration
TRIP16522,USER7341,New York,2025-01-22,2025-01-25,Leisure,Car,1,4582.88,6.0,Medium,January,3
TRIP07700,USER6198,Tokyo,2024-10-08,2024-12-27,Cultural,Flight,1,3156.13,8.0,High,October,80
TRIP08303,USER9894,London,2024-06-10,2024-10-04,Beach,Cruise,5,2157.03,3.0,Low,June,116
TRIP04357,USER4584,London,2025-03-07,2025-03-20,Business,Car,3,1978.14,10.0,High,March,13
TRIP12145,USER4864,Dubai,2025-01-20,2025-02-25,Family,Flight,4,3231.1,9.0,High,January,36
TRIP18932,USER5903,Rome,2024-07-12,2024-09-30,Business,Bus,1,1162.54,9.0,High,July,80
TRIP13093,USER2611,Dubai,2024-09-01,2024-09-12,Leisure,Flight,2,1892.64,10.0,High,September,11
TRIP09001,USER4383,Dubai,2025-01-18,2025-03-08,Beach,Cruise,3,3108.09,4.0,Low,January,49
TRIP04007,USER5873,London,2025-02-03,2025-02-21,Leisure,Car,5,4386.49,3.0,Low,February,18
TRIP02741,USER3198,Istanbul,2024-10-06,2025-03-11,Cultural,Car,3,1501.36,4.0,Low,October,156
TRIP08459,USER6957,Barcelona,2024-10-04,2024-11-27,Beach,Cruise,3,1174.98,5.0,Medium,October,54
TRIP12250,USER3524,Barcelona,2025-02-05,2025-04-07,Cultural,Flight,3,2588.52,6.0,Medium,February,61
TRIP02983,USER4018,Bangkok,2024-11-08,2024-12-12,Business,Train,3,3383.6,9.0,High,November,34
TRIP01267,USER7637,Tokyo,2024-10-08,2025-03-30,Family,Train,1,1965.6,9.0,High,October,173
TRIP02440,USER4960,Sydney,2024-08-08,2024-11-07,Leisure,Train,3,4261.12,3.0,Low,August,91
TRIP15516,USER4246,Istanbul,2024-04-03,2024-09-06,Leisure,Train,4,3092.39,3.0,Low,April,156
TRIP08522,USER4525,Tokyo,2024-12-03,2025-01-03,Leisure,Cruise,4,4873.48,9.0,High,December,31
TRIP02661,USER9140,Dubai,2024-03-27,2024-09-23,Leisure,Flight,2,1265.75,6.0,Medium,March,180
TRIP00223,USER3271,New York,2024-04-01,2025-02-24,Business,Bus,4,1620.92,5.0,Medium,April,329
TRIP08581,USER5629,Istanbul,2024-12-16,2025-03-25,Beach,Bus,4,1143.44,10.0,High,December,99
TRIP10302,USER9111,New York,2024-06-18,2024-09-16,Beach,Cruise,3,1015.15,9.0,High,June,90
TRIP03604,USER5504,Sydney,2025-03-14,2025-03-21,Family,Bus,1,942.8,6.0,Medium,March,7
TRIP15337,USER1568,Bangkok,2024-06-17,2024-09-11,Business,Flight,5,1880.08,2.0,Low,June,86
TRIP02673,USER1018,Dubai,2024-05-17,2024-11-16,Business,Cruise,3,2627.61,10.0,High,May,183
TRIP18819,USER8541,Tokyo,2024-07-02,2024-12-30,Beach,Train,3,1262.35,9.0,High,July,181
TRIP13772,USER7025,New York,2024-08-26,2024-12-03,Adventure,Flight,1,3903.3,3.0,Low,August,99
TRIP12637,USER3048,Bangkok,2025-03-10,2025-04-15,Cultural,Cruise,3,4401.75,7.0,Medium,March,36
TRIP13348,USER7641,London,2024-11-30,2024-12-26,Beach,Train,1,1812.64,8.0,High,November,26
TRIP08653,USER6752,Dubai,2025-02-27,2025-04-11,Adventure,Cruise,5,2911.07,7.0,Medium,February,43
TRIP05429,USER6655,Dubai,2024-10-04,2025-02-08,Beach,Train,3,3523.53,9.0,High,October,127
TRIP09449,USER5330,Paris,2024-06-11,2024-08-15,Business,Cruise,3,2763.86,5.0,Medium,June,65
TRIP01348,USER9806,Istanbul,2024-05-24,2024-09-26,Family,Train,2,3299.42,8.0,High,May,125
TRIP01414,USER4361,Sydney,2024-08-05,2024-09-21,Cultural,Train,3,3732.98,4.0,Low,August,47
TRIP00114,USER1073,Tokyo,2024-04-05,2024-12-06,Beach,Car,3,4319.55,6.0,Medium,April,245
TRIP18915,USER4900,London,2024-08-11,2025-01-05,Adventure,Bus,3,1520.17,3.0,Low,August,147
TRIP09090,USER3907,Paris,2024-10-20,2024-11-26,Cultural,Car,4,3229.7,3.0,Low,October,37
TRIP04082,USER1228,London,2024-09-07,2024-11-02,Business,Flight,5,4348.56,6.0,Medium,September,56
TRIP13500,USER4929,Dubai,2024-05-17,2024-10-09,Beach,Car,2,1352.76,9.0,High,May,145
TRIP08700,USER4434,Barcelona,2024-04-20,2024-12-03,Adventure,Cruise,2,516.67,4.0,Low,April,227
TRIP08927,USER2625,London,2025-03-15,2025-03-16,Leisure,Train,5,1794.33,9.0,High,March,1
TRIP04383,USER4612,Sydney,2024-11-22,2025-02-28,Adventure,Cruise,3,4235.86,1.0,Low,November,98
TRIP16951,USER2906,Barcelona,2024-06-09,2024-11-13,Family,Car,3,2201.96,2.0,Low,June,157
TRIP07903,USER2558,Bangkok,2024-06-24,2024-09-24,Cultural,Bus,2,740.35,4.0,Low,June,92
TRIP04257,USER5407,Sydney,2025-03-11,2025-03-30,Beach,Bus,2,2134.86,4.0,Low,March,19
TRIP11829,USER8946,Sydney,2025-01-08,2025-02-07,Business,Car,1,857.03,5.0,Medium,January,30
TRIP04926,USER7639,Istanbul,2024-12-16,2025-02-07,Adventure,Car,3,1660.25,6.0,Medium,December,53
TRIP10555,USER2232,Tokyo,2025-02-06,2025-02-20,Beach,Cruise,3,1788.8,7.0,Medium,February,14
TRIP14841,USER6385,Rome,2024-07-01,2024-10-23,Family,Train,2,4837.38,4.0,Low,July,114
TRIP11346,USER1818,Bangkok,2024-08-31,2024-11-26,Business,Flight,1,2677.38,10.0,High,August,87
TRIP12993,USER8687,Sydney,2025-02-24,2025-04-05,Family,Flight,2,2937.14,8.0,High,February,40
